scope,split,source,class_name,images,instances,source_file,notes
overall,all,all,organic_waste,6460,727,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Class total summed from split instances_by_class.
overall,all,all,plastic_bottle,6460,684,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Class total summed from split instances_by_class.
overall,all,all,plastic_bag,6460,912,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Class total summed from split instances_by_class.
overall,all,all,rigid_plastic,6460,1574,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Class total summed from split instances_by_class.
overall,all,all,metal_can,6460,1185,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Class total summed from split instances_by_class.
overall,all,all,glass,6460,708,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Class total summed from split instances_by_class.
overall,all,all,paper_cardboard,6460,1502,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Class total summed from split instances_by_class.
overall,all,all,mixed_waste,6460,2410,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Class total summed from split instances_by_class.
split_summary,test,all,all,969,1574,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Split summary from dataset_manifest.json.
split_by_source,test,aquatrash,all,55,,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Image count by source in split.
split_by_source,test,realwaste,all,689,,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Image count by source in split.
split_by_source,test,taco,all,225,,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Image count by source in split.
split_by_class,test,all,glass,,173,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,test,all,metal_can,,212,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,test,all,mixed_waste,,386,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,test,all,organic_waste,,110,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,test,all,paper_cardboard,,241,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,test,all,plastic_bag,,110,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,test,all,plastic_bottle,,114,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,test,all,rigid_plastic,,228,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_summary,train,all,all,4522,6614,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Split summary from dataset_manifest.json.
split_by_source,train,aquatrash,all,258,,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Image count by source in split.
split_by_source,train,realwaste,all,3214,,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Image count by source in split.
split_by_source,train,taco,all,1050,,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Image count by source in split.
split_by_class,train,all,glass,,434,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,train,all,metal_can,,774,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,train,all,mixed_waste,,1657,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,train,all,organic_waste,,508,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,train,all,paper_cardboard,,1043,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
