metric,value,source_file,epoch_or_step,notes
final_epoch:train/box_loss,0.36609,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:train/seg_loss,0.4904,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:train/cls_loss,1.62279,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:train/dfl_loss,0.00376,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:train/sem_loss,0.17375,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:val/box_loss,0.28647,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:val/seg_loss,0.36691,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:val/cls_loss,2.33211,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:val/dfl_loss,0.00253,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:val/sem_loss,0,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:metrics/precision(B),0.80488,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:metrics/recall(B),0.5701,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:metrics/mAP50(B),0.64057,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:metrics/mAP50-95(B),0.59791,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:metrics/precision(M),0.79622,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:metrics/recall(M),0.56408,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:metrics/mAP50(M),0.6208,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:metrics/mAP50-95(M),0.52755,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:lr/pg0,0.000787235,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:lr/pg1,0.000787235,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
final_epoch:lr/pg2,0.000787235,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,54,Final row in installed results.csv.
best_csv_epoch:metrics/mAP50-95(M),0.53016,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,44,Best value for this metric across results.csv rows.
best_csv_epoch:metrics/mAP50(M),0.62829,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,38,Best value for this metric across results.csv rows.
best_csv_epoch:metrics/precision(M),0.82881,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training/curves/results.csv,52,Best value for this metric across results.csv rows.
